Das Genie einer Nacht	一夜之间的天才	0.34
Es ist spät nach Mitternacht. Der 25. April, der für Straßburg so erregende Tag der Kriegserklärung, ist zu Ende, eigentlich hat der 26. April schon begonnen. Nächtliches Dunkel liegt über den Häusern; aber trügerisch ist dieses Dunkel, denn noch fiebert die Stadt vor Erregung. In den Kasernen rüsten die Soldaten zum Ausmarsch und manche der Vorsichtigen hinter verschlossenen Läden vielleicht schon heimlich zur Flucht. Auf den Straßen marschieren einzelne Peletons, dazwischen jagen die klappernden Hufe der Meldereiter, dann rasselt wieder ein schwerer Zug Artillerie heran, und immer wieder hallt monoton der Ruf der Schildwache von Posten zu Posten. Zu nahe ist der Feind, zu unsicher und zu erregt die Seele der Stadt, als daß sie Schlaf fände in so entscheidendem Augenblick.	午夜过去好久了，也就是说，由于宣战而使斯特拉斯堡无比振奋的一天——4月25日业已结束，4月26日已经开始。黑夜笼罩着千家万户，但这种夜阑人静仅仅是假象，因为全城依然处在热烈的活动之中。兵营里的士兵正在为出征做准备，一些谨小慎微的人或许已经从紧闭的店铺后面悄悄溜走。街道上一队队的步兵正在行进，其间夹杂着通信骑兵的橐橐马蹄声，然后又是沉重炮车的铿锵声，单调的口令声不时从这个岗哨传到那个岗哨。敌人太近了，太不安全了，全城的人都激动得无法在这决定性的时刻入睡。	0.48
Auch Rouget, der jetzt in sein bescheidenes Zimmerchen in der Grande Rue 126 die runde Treppe hinaufgeklettert ist, fühlt sich merkwürdig erregt. Er hat sein Versprechen nicht vergessen, möglichst rasch ein Marschlied, ein Kriegslied für die Rheinarmee zu versuchen. Unruhig stapft er in seinem engen Zimmer auf und nieder. Wie beginnen? Wie beginnen? Noch schwirren ihm alle die anfeuernden Rufe der Proklamationen, der Reden, der Toaste chaotisch durch den Sinn. »Aux armes, citoyens! ... Marchons, enfants de la liberté! ... Ecrasons la tyrannie! ... L'étendard de la guerre est déployé! ...« Aber auch der andern Worte entsinnt er sich, die er im Vorübergehen gehört, die Stimmen der Frauen, die um ihre Söhne zittern, die Sorge der Bauern, Frankreichs Felder könnten zerstampft werden und mit Blut gedüngt von den fremden Kohorten. Halb unbewußt schreibt er die ersten beiden Zeilen hin, die nur Widerhall, Widerklang, Wiederholung sind jener Anrufe.	鲁热也不例外，他此刻正在中央大道126号那幢房子里登上回旋形楼梯，走进自己简朴的小房间。他也觉得特别兴奋，他没有忘记自己的诺言，要尽快为莱茵军写出一支战歌，写出一首进行曲。他在自己狭窄的房间里踏着重步，不安地踱来踱去。怎样开头呢？怎样开头？各种号召书、演讲和祝酒词中所有那些鼓舞人心的言辞还杂乱无章地在脑海里翻滚。“公民们，武装起来！前进，自由的孩子们！……消灭专制……举起战旗！……”不过，与此同时，他还想起了以前听到过的一些话，想起了为自己的儿子而忧虑的妇女们的声音，想起了农民们的担心——他们害怕法国的田野可能会被外国兵践踏得不成样子、血流满地。他几乎是半下意识地写下了头两行的歌词，这两行无非是那些呼喊的反响、回声和重复。	0.37
»Allons, enfants de la patrie,		
Le jour de gloire est arrivé!«	前进，前进，祖国的儿郎，	0.0
	那光荣的时刻已来临！	
Dann hält er inne und stutzt. Das sitzt. Der Ansatz ist gut. Jetzt nur gleich den rechten Rhythmus finden, die Melodie zu den Worten. Er nimmt seine Geige vom Schrank, er probiert. Und wunderbar: gleich in den ersten Takten paßt sich der Rhythmus vollkommen den Worten an. Hastig schreibt er weiter, nun schon getragen, nun schon mitgerissen von der Kraft, die in ihn gefahren ist. Und mit einemmal strömt alles zusammen: alle die Gefühle, die sich in dieser Stunde entladen, alle die Worte, die er auf der Straße, die er bei dem Bankett gehört, der Haß gegen die Tyrannen, die Angst um die Heimaterde, das Vertrauen zum Siege, die Liebe zur Freiheit. Rouget braucht gar nicht zu dichten, zu erfinden, er braucht nur in Reime zu bringen, in den hinreißenden Rhythmus seiner Melodie die Worte zu setzen, die heute, an diesem einzigen Tage, von Mund zu Mund gegangen, und er hat alles ausgesprochen, alles ausgesagt, alles ausgesungen, was die Nation in innerster Seele empfand. Und er braucht nicht zu komponieren, denn durch die verschlossenen Fensterläden dringt der Rhythmus der Straße, der Stunde herein, dieser Rhythmus des Trotzes und der Herausforderung, der in dem Marschtritt der Soldaten, dem Schmettern der Trompeten, dem Rasseln der Kanonen liegt. Vielleicht vernimmt er ihn nicht selbst, nicht sein eigenes waches Ohr, aber der Genius der Stunde, der für diese einzige Nacht Hausung genommen hat in seinem sterblichen Leibe, hat ihn vernommen. Und immer fügsamer gehorcht die Melodie dem hämmernden, dem jubelnden Takt, der Herzschlag eines ganzen Volkes ist. Wie unter fremdem Diktat schreibt hastig und immer hastiger Rouget die Worte, die Noten hin – ein Sturm ist über ihn gekommen, wie er nie seine enge bürgerliche Seele durchbrauste. Eine Exaltation, eine Begeisterung, die nicht die seine ist, sondern magische Gewalt, zusammengeballt in eine einzige explosive Sekunde, reißt den armen Dilettanten hunderttausendfach über sein eigenes Maß hinaus und schleudert ihn wie eine Rakete – eine Sekunde lang Licht und strahlende Flamme – bis zu den Sternen. Eine Nacht ist es dem Kapitänleutnant Rouget de Lisle gegönnt, Bruder der Unsterblichen zu sein: aus den übernommenen, der Straße, den Journalen abgeborgten Rufen des Anfangs formt sich ihm schöpferisches Wort und steigt empor zu einer Strophe, die in ihrer dichterischen Formulierung so unvergänglich ist wie die Melodie unsterblich.	随后他停下来。他愣住了，写得正合适。开头相当不错。只是现在要马上找到相应的节奏，找到适合这两行歌词的旋律，于是他从橱柜里拿下自己的小提琴，试了试，妙极了。头几拍的节奏很快就和歌词的旋律完全相配。他急忙继续写下去，他感到全身仿佛涌出一股力量拽着他向前，所有的一切：此时此刻自己心中的各种感情；他在街道上、宴会上听到的各种话语；对暴君的仇恨；对乡土的忧虑；对胜利的信心；对自由的热爱——顿时都汇集到了一起。鲁热根本用不着创作，用不着虚构，他只需把今天——这一天之中有口皆传的话押上韵，配上旋律和富有魅力的节奏，就成了，这就已经把全体国民那种最内在的感受表达出来、说出来和唱出来了。而且，他也无须作曲，因为街上的节奏，时间的节奏，这种在士兵的行军步伐中、在军号的高奏中、在炮车的辚辚声中所表现出来的斗志昂扬的节奏已穿过紧闭的百叶窗，传入他的耳中——也许他自己并没有意识到，他也没有亲自用灵敏的耳朵去听。不过，在这一天夜里，蕴藏在他不能永生的躯体中的对于时间的灵感却听到了这种节奏。因此，旋律愈来愈顺从那强有力的欢呼的节拍——全国人民的脉搏。鲁热愈来愈迅速地写下他的歌词和乐谱，好像在笔录某个陌生人的口授似的——在他的市井百姓的狭隘心灵中从未有过如此的激情。这不是一种属于他自己的亢奋和热情，而是一种神奇的魔力在这一瞬间聚集起来，迸发而出，把这个可怜的资质平平的业余作者拽到离他自己相距千百倍远的地方，把他像一枚火箭似的——闪耀着剎那间的光芒和火焰——射向群星，一夜之间使这位鲁热·德·利勒上尉跻身于不朽者的行列。从街头、报刊上吸收来的最初呼声构成了他那创造性的歌词，并且升华为一段永存的诗句，就像这首歌的千秋流传的曲调一样。	0.53
»Amour sacré de la patrie,	我们在神圣的祖国面前，	0.0
Conduis, soutiens nos bras vengeurs,	立誓向敌人复仇！	0.0
Liberté, liberté chérie,	我们渴望珍贵的自由，	0.0
Combats avec tes défenseurs.«	决心要为它而战斗！	0.0
Dann noch eine fünfte Strophe, die letzte, und aus einer Erregung und in einem Guß gestaltet, vollkommen das Wort der Melodie verbindend, ist noch vor dem Morgengrauen das unsterbliche Lied vollendet. Rouget löscht das Licht und wirft sich hin auf sein Bett. Irgend etwas, er weiß nicht was, hat ihn aufgehoben in eine nie gefühlte Helligkeit seiner Sinne, irgend etwas schleudert ihn jetzt nieder in eine dumpfe Erschöpfung. Er schläft einen abgründigen Schlaf, der wie ein Tod ist. Und tatsächlich ist schon wieder der Schöpfer, der Dichter, der Genius in ihm gestorben. Auf dem Tische aber liegt, losgelöst von dem Schlafenden, den dies Wunder wahrhaft im heiligen Rausch überkommen, das vollendete Werk. Kaum ein zweites Mal in der Geschichte aller Völker und Zeiten ist ein Lied so rasch und so vollkommen gleichzeitig Wort und Musik geworden.	接着他写了第五诗节，一直到最后一节，都是在同样的激情下一气呵成的。歌词和旋律结合得十分完美——这首不朽的歌曲终于在破晓前完成了。鲁热熄灭灯光，躺到自己床上。他自己也不知道是什么东西使他刚才如此头脑清醒、灵感勃发，现在又不知道是什么东西使他觉得疲倦不堪、浑身软瘫，他像死一般地沉睡了。事实也确实如此，那种诗人和创造者的天才在他心中重又泯灭了。不过，在桌子上却放着那件已完成的、脱离了这个正在沉睡的人的作品。它真像奇迹一般飘然而至，降临到他身上。这首歌，连词带曲几乎是同时产生的，创作之迅速，词曲结合之完美，在各民族的历史上简直找不出第二首能与之伦比。	0.27
Dieselben Glocken vom Münster wie immer verkünden den neuen Morgen. Ab und zu trägt der Wind vom Rhein her Schüsse herüber, die ersten Geplänkel haben begonnen. Rouget erwacht. Mit Mühe tastet er sich aus dem Abgrund seines Schlafes empor. Etwas ist geschehen, fühlt er dumpf, etwas mit ihm geschehen, an das er nur dumpf sich erinnert. Dann erst bemerkt er auf dem Tisch das frischbeschriebene Blatt. Verse? Wann habe ich die geschrieben? Musik, in meiner eigenen Handschrift? Wann habe ich das komponiert? Ach ja, das Lied, das Freund Dietrich gestern erbeten, das Marschlied für die Rheinarmee! Rouget liest seine Verse, summt dazu die Melodie, fühlt aber, wie immer der Schöpfer vor dem eben geschaffenen Werk, sich völlig ungewiß. Aber nebenan wohnt ein Regimentskamerad, dem zeigt und singt er es vor. Der Freund scheint zufrieden und schlägt nur einige kleine Änderungen vor. An dieser ersten Zustimmung gewinnt Rouget ein gewisses Zutrauen. Mit der ganzen Ungeduld eines Autors und stolz auf sein rasch erfülltes Versprechen, fällt er gleich dem Bürgermeister Dietrich ins Haus, der im Garten seinen Morgenspaziergang macht und dabei eine neue Rede meditiert. Wie, Rouget? Schon fertig? Nun, da wollen wir gleich eine Probe abhalten. Die beiden gehen aus dem Garten in den Salon des Hauses, Dietrich setzt sich ans Klavier und spielt die Begleitung, Rouget singt den Text. Angelockt von der unerwarteten morgendlichen Musik kommt die Frau des Bürgermeisters ins Zimmer und verspricht, Kopien von dem neuen Lied zu machen und als gelernte Musikerin, die sie ist, gleich die Begleitung auszuarbeiten, damit man schon heute nacht bei der Abendgesellschaft es den Freunden des Hauses zwischen allerhand andern Liedern vorsingen könne. Der Bürgermeister Dietrich, stolz auf seine nette Tenorstimme, übernimmt es, das Lied nun gründlicher zu studieren, und am 26. April, am Abend desselben Tages, in dessen Morgenstunden das Lied gedichtet und komponiert war, wird es zum erstenmal einer zufällig gewählten Gesellschaft im Salon des Bürgermeisters vorgesungen.	大教堂的钟声像平时一样，宣告了新的一天的清晨来临。小规模的战斗接触已经开始。莱茵河上的阵风不时把枪击声飘过来。鲁热醒了，但睡意未尽，他咬着牙坐起身来。他迷迷糊糊觉得好像曾发生过什么事，发生过与他有关的事，但只是依稀的记忆。随后他倏地看见桌子上那张墨迹尚新的纸。诗句？我什么时候写过诗句？谱子？我亲笔写的谱子？我什么时候为这首歌作过曲？哦——对啦！这不就是朋友迪特里希昨天要我写的那首莱茵军进行曲吗！鲁热一边看着自己写的歌词，一边轻轻地哼着曲调，不过他也像所有的创作者那样，对自己刚刚创作的作品总觉得不完全有把握。好在隔壁住着自己团里的一位战友。于是他把这首歌曲拿给他看，唱给他听。看来，那位战友是满意的，只是建议做一些小小的修改。鲁热从这最初的赞许中得到了一定的信心。他怀着一个作者常有的那种焦急心情和对自己能如此迅速实现诺言的自豪感，立刻赶到市长迪特里希家中。市长正在花园里散步，一边为一篇新的演讲打腹稿。你说什么，鲁热？已经写完了？好吧，那就让我们立刻来演唱一遍。此刻两人从花园走进客厅。迪特里希坐在钢琴旁伴奏，鲁热唱着歌词。市长夫人被这早晨的意外音乐声吸引到房间里来了。她答应把这首新歌誊抄几份。作为一个受过专门训练的音乐家，她还答应为这首歌曲谱写伴奏曲，以便能在今晚家里举行的社交集会上夹在其他的歌曲中演唱给家中的朋友们听。为自己甜美的男高音而自豪的迪特里希市长现在开始更仔细地琢磨起这首歌来。4月26日晚上，在市长的客厅里为那些经过特地挑选的上流社会人士首次演唱了这首歌——而这首歌却是在这一天的凌晨才作词和谱曲完毕的。	0.37
